"Date","station_name","station_id","number_of_trips","Avg_temp","SNOW","PRCP","SNWD"
"1/1/2001","Belmont-O'Hare",40060,116812,20,0,0,17
"1/1/2001","Logan Square",41020,117803,20,0,0,17
"1/1/2001","California/Milwaukee",40570,72176,20,0,0,17
"1/1/2001","Western/Milwaukee",40670,72395,20,0,0,17
"1/1/2001","Damen/Milwaukee",40590,103604,20,0,0,17
"1/1/2001","Division/Milwaukee",40320,109899,20,0,0,17
"1/1/2001","Chicago/Milwaukee",41410,50945,20,0,0,17
"1/1/2001","Grand/Milwaukee",40490,28505,20,0,0,17
"1/1/2001","Washington/Dearborn",40370,203619,20,0,0,17
"1/1/2001","Monroe/Dearborn",40790,131567,20,0,0,17
"1/1/2001","Jackson/Dearborn",40070,168377,20,0,0,17
"1/1/2001","LaSalle",41340,49643,20,0,0,17
"1/1/2001","Clinton-Forest Park",40430,58118,20,0,0,17
"1/1/2001","UIC-Halsted",40350,94358,20,0,0,17
"1/1/2001","Racine",40470,52085,20,0,0,17
"1/1/2001","Medical Center",40810,49457,20,0,0,17
"1/1/2001","Western-Forest Park",40220,25221,20,0,0,17
"1/1/2001","Kedzie-Homan-Forest Park",40250,33728,20,0,0,17
"1/1/2001","Pulaski-Forest Park",40920,32484,20,0,0,17
"1/1/2001","Cicero-Forest Park",40970,27352,20,0,0,17
"1/1/2001","Austin-Forest Park",40010,37193,20,0,0,17
"1/1/2001","Oak Park-Forest Park",40180,33092,20,0,0,17
"1/1/2001","Harlem-Forest Park",40980,19961,20,0,0,17
"1/1/2001","Forest Park",40390,85926,20,0,0,17
"1/1/2001","Polk",41030,52383,20,0,0,17
"1/1/2001","18th",40830,21301,20,0,0,17
"1/1/2001","Damen-Cermak",40210,14477,20,0,0,17
"1/1/2001","Western-Cermak",40740,11530,20,0,0,17
"1/1/2001","California-Cermak",40440,17157,20,0,0,17
"1/1/2001","Kedzie-Cermak",41040,9789,20,0,0,17
"1/1/2001","Central Park",40780,9974,20,0,0,17
"1/1/2001","Pulaski-Cermak",40150,10114,20,0,0,17
"1/1/2001","Kostner",40600,6673,20,0,0,17
"1/1/2001","Cicero-Cermak",40420,18621,20,0,0,17
"1/1/2001","54th/Cermak",40580,34057,20,0,0,17
"1/1/2001","Harlem-Lake",40020,82609,20,0,0,17
"1/1/2001","Oak Park-Lake",41350,33326,20,0,0,17
"1/1/2001","Ridgeland",40610,29837,20,0,0,17
"1/1/2001","Austin-Lake",41260,49673,20,0,0,17
"1/1/2001","Central-Lake",40280,58047,20,0,0,17
"1/1/2001","Laramie",40700,33036,20,0,0,17
"1/1/2001","Cicero-Lake",40480,33576,20,0,0,17
"1/1/2001","Pulaski-Lake",40030,39558,20,0,0,17
"1/1/2001","Kedzie-Lake",41070,30240,20,0,0,17
"1/1/2001","California-Lake",41360,19449,20,0,0,17
"1/1/2001","Ashland-Lake",40170,34790,20,0,0,17
"1/1/2001","Clinton-Lake",41160,42841,20,0,0,17
"1/1/2001","35-Bronzeville-IIT",41120,44893,20,0,0,17
"1/1/2001","Indiana",40300,14908,20,0,0,17
"1/1/2001","43rd",41270,19871,20,0,0,17
"1/1/2001","47th-South Elevated",41080,32826,20,0,0,17
"1/1/2001","51st",40130,29609,20,0,0,17
"1/1/2001","Garfield-South Elevated",40510,19359,20,0,0,17
"1/1/2001","King Drive",41140,18039,20,0,0,17
"1/1/2001","East 63rd-Cottage Grove",40720,35969,20,0,0,17
"1/1/2001","Halsted/63rd",40940,18770,20,0,0,17
"1/1/2001","Ashland/63rd",40290,45989,20,0,0,17
"1/1/2001","Kimball",41290,102564,20,0,0,17
"1/1/2001","Kedzie-Brown",41180,38169,20,0,0,17
"1/1/2001","Francisco",40870,26893,20,0,0,17
"1/1/2001","Rockwell",41010,31403,20,0,0,17
"1/1/2001","Western-Brown",41480,86321,20,0,0,17
"1/1/2001","Damen-Brown",40090,52637,20,0,0,17
"1/1/2001","Montrose-Brown",41500,50446,20,0,0,17
"1/1/2001","Irving Park-Brown",41460,57018,20,0,0,17
"1/1/2001","Addison-Brown",41440,43494,20,0,0,17
"1/1/2001","Paulina",41310,50919,20,0,0,17
"1/1/2001","Southport",40360,65267,20,0,0,17
"1/1/2001","Wellington",41210,60810,20,0,0,17
"1/1/2001","Diversey",40530,106162,20,0,0,17
"1/1/2001","Armitage",40660,80102,20,0,0,17
"1/1/2001","Sedgwick",40800,53255,20,0,0,17
"1/1/2001","Chicago/Franklin",40710,97322,20,0,0,17
"1/1/2001","Merchandise Mart",40460,140195,20,0,0,17
"1/1/2001","Midway Airport",40930,186353,20,0,0,17
"1/1/2001","Pulaski-Orange",40960,118537,20,0,0,17
"1/1/2001","Kedzie-Midway",41150,71488,20,0,0,17
"1/1/2001","Western-Orange",40310,77738,20,0,0,17
"1/1/2001","35th/Archer",40120,49035,20,0,0,17
"1/1/2001","Ashland-Orange",41060,31895,20,0,0,17
"1/1/2001","Halsted-Orange",41130,56976,20,0,0,17
"1/1/2001","Washington/Wells",40730,163166,20,0,0,17
"4/1/2006","Rockwell",41010,0,43.5,0,0,0
"1/1/2001","Quincy/Wells",40040,180161,20,0,0,17
"1/1/2001","LaSalle/Van Buren",40160,81860,20,0,0,17
"1/1/2001","Library",40850,56662,20,0,0,17
"1/1/2001","Adams/Wabash",40680,165928,20,0,0,17
"1/1/2001","Madison/Wabash",40640,87994,20,0,0,17
"1/1/2001","Randolph/Wabash",40200,134115,20,0,0,17
"1/1/2001","State/Lake",40260,210942,20,0,0,17
"1/1/2001","Clark/Lake",40380,350089,20,0,0,17
"2/1/2001","Howard",40900,152971,20,0,0,0
"2/1/2001","Jarvis",41190,37553,20,0,0,0
"2/1/2001","Morse",40100,110184,20,0,0,0
"2/1/2001","Loyola",41300,122130,20,0,0,0
"2/1/2001","Granville",40760,81022,20,0,0,0
"2/1/2001","Thorndale",40880,74821,20,0,0,0
"2/1/2001","Bryn Mawr",41380,109762,20,0,0,0
"2/1/2001","Berwyn",40340,82954,20,0,0,0
"2/1/2001","Argyle",41200,67801,20,0,0,0
"2/1/2001","Lawrence",40770,67848,20,0,0,0
"2/1/2001","Wilson",40540,129078,20,0,0,0
"2/1/2001","Sheridan",40080,107787,20,0,0,0
"2/1/2001","Addison-North Main",41420,119335,20,0,0,0
"2/1/2001","Belmont-North Main",41320,231643,20,0,0,0
"2/1/2001","Fullerton",41220,242787,20,0,0,0
"2/1/2001","North/Clybourn",40650,89439,20,0,0,0
"2/1/2001","Clark/Division",40630,166712,20,0,0,0
"2/1/2001","Chicago/State",41450,309684,20,0,0,0
"2/1/2001","Grand/State",40330,202304,20,0,0,0
"2/1/2001","Lake/State",41660,311022,20,0,0,0
"2/1/2001","Washington/State",40500,156790,20,0,0,0
"2/1/2001","Monroe/State",41090,164594,20,0,0,0
"2/1/2001","Jackson/State",40560,259132,20,0,0,0
"2/1/2001","Harrison",41490,61156,20,0,0,0
"2/1/2001","Roosevelt",41400,137861,20,0,0,0
"2/1/2001","Cermak-Chinatown",41000,69382,20,0,0,0
"2/1/2001","Sox-35th-Dan Ryan",40190,86850,20,0,0,0
"2/1/2001","47th-Dan Ryan",41230,59216,20,0,0,0
"2/1/2001","Garfield-Dan Ryan",41170,111842,20,0,0,0
"2/1/2001","63rd-Dan Ryan",40910,89194,20,0,0,0
"2/1/2001","69th",40990,166937,20,0,0,0
"2/1/2001","79th",40240,181907,20,0,0,0
"2/1/2001","87th",41430,131125,20,0,0,0
"2/1/2001","95th/Dan Ryan",40450,338708,20,0,0,0
"2/1/2001","Linden",41050,24573,20,0,0,0
"2/1/2001","Central-Evanston",41250,22185,20,0,0,0
"2/1/2001","Noyes",40400,14449,20,0,0,0
"2/1/2001","Foster",40520,16688,20,0,0,0
"2/1/2001","Davis",40050,86409,20,0,0,0
"2/1/2001","Dempster",40690,16249,20,0,0,0
"2/1/2001","Main",40270,28407,20,0,0,0
"2/1/2001","South Boulevard",40840,19300,20,0,0,0
"2/1/2001","Skokie",40140,50909,20,0,0,0
"2/1/2001","O'Hare Airport",40890,204366,20,0,0,0
"2/1/2001","Rosemont",40820,118020,20,0,0,0
"2/1/2001","Cumberland",40230,105790,20,0,0,0
"2/1/2001","Harlem-O'Hare",40750,60775,20,0,0,0
"2/1/2001","Jefferson Park",41280,151298,20,0,0,0
"2/1/2001","Montrose-O'Hare",41330,43889,20,0,0,0
"2/1/2001","Irving Park-O'Hare",40550,84091,20,0,0,0
"2/1/2001","Addison-O'Hare",41240,55121,20,0,0,0
"2/1/2001","Belmont-O'Hare",40060,107392,20,0,0,0
"2/1/2001","Logan Square",41020,107712,20,0,0,0
"2/1/2001","California/Milwaukee",40570,67211,20,0,0,0
"2/1/2001","Western/Milwaukee",40670,64994,20,0,0,0
"2/1/2001","Damen/Milwaukee",40590,95630,20,0,0,0
"2/1/2001","Division/Milwaukee",40320,102745,20,0,0,0
"2/1/2001","Chicago/Milwaukee",41410,48606,20,0,0,0
"2/1/2001","Grand/Milwaukee",40490,26138,20,0,0,0
"2/1/2001","Washington/Dearborn",40370,192430,20,0,0,0
"2/1/2001","Monroe/Dearborn",40790,125934,20,0,0,0
"2/1/2001","Jackson/Dearborn",40070,159623,20,0,0,0
"2/1/2001","LaSalle",41340,46354,20,0,0,0
"2/1/2001","Clinton-Forest Park",40430,51136,20,0,0,0
"2/1/2001","UIC-Halsted",40350,94352,20,0,0,0
"2/1/2001","Racine",40470,49627,20,0,0,0
"2/1/2001","Medical Center",40810,45799,20,0,0,0
"2/1/2001","Western-Forest Park",40220,24067,20,0,0,0
"2/1/2001","Kedzie-Homan-Forest Park",40250,31622,20,0,0,0
"2/1/2001","Pulaski-Forest Park",40920,29937,20,0,0,0
"2/1/2001","Cicero-Forest Park",40970,25627,20,0,0,0
"2/1/2001","Austin-Forest Park",40010,34714,20,0,0,0
"2/1/2001","Oak Park-Forest Park",40180,30384,20,0,0,0
"2/1/2001","Harlem-Forest Park",40980,18711,20,0,0,0
"2/1/2001","Forest Park",40390,79180,20,0,0,0
"2/1/2001","Polk",41030,45983,20,0,0,0
"2/1/2001","18th",40830,19955,20,0,0,0
"2/1/2001","Damen-Cermak",40210,13421,20,0,0,0
"2/1/2001","Western-Cermak",40740,10986,20,0,0,0
"2/1/2001","California-Cermak",40440,15955,20,0,0,0
"2/1/2001","Kedzie-Cermak",41040,8833,20,0,0,0
"2/1/2001","Central Park",40780,9126,20,0,0,0
"2/1/2001","Pulaski-Cermak",40150,9484,20,0,0,0
"2/1/2001","Kostner",40600,6286,20,0,0,0
"2/1/2001","Cicero-Cermak",40420,17673,20,0,0,0
"2/1/2001","54th/Cermak",40580,31776,20,0,0,0
"2/1/2001","Harlem-Lake",40020,75724,20,0,0,0
"2/1/2001","Oak Park-Lake",41350,30962,20,0,0,0
"2/1/2001","Ridgeland",40610,27942,20,0,0,0
"2/1/2001","Austin-Lake",41260,43695,20,0,0,0
"2/1/2001","Central-Lake",40280,55799,20,0,0,0
"2/1/2001","Laramie",40700,30856,20,0,0,0
"2/1/2001","Cicero-Lake",40480,30985,20,0,0,0
"2/1/2001","Pulaski-Lake",40030,36591,20,0,0,0
"2/1/2001","Kedzie-Lake",41070,28685,20,0,0,0
"2/1/2001","California-Lake",41360,18497,20,0,0,0
"2/1/2001","Ashland-Lake",40170,32791,20,0,0,0
"2/1/2001","Clinton-Lake",41160,38803,20,0,0,0
"2/1/2001","35-Bronzeville-IIT",41120,45382,20,0,0,0
"2/1/2001","Indiana",40300,14239,20,0,0,0
"2/1/2001","43rd",41270,18933,20,0,0,0
"2/1/2001","47th-South Elevated",41080,31218,20,0,0,0
"2/1/2001","51st",40130,27733,20,0,0,0
"2/1/2001","Garfield-South Elevated",40510,18102,20,0,0,0
"2/1/2001","King Drive",41140,17406,20,0,0,0
"2/1/2001","East 63rd-Cottage Grove",40720,32976,20,0,0,0
"2/1/2001","Halsted/63rd",40940,18093,20,0,0,0
"2/1/2001","Ashland/63rd",40290,41927,20,0,0,0
"2/1/2001","Kimball",41290,96157,20,0,0,0
"2/1/2001","Kedzie-Brown",41180,35622,20,0,0,0
"2/1/2001","Francisco",40870,24207,20,0,0,0
"2/1/2001","Rockwell",41010,28820,20,0,0,0
"2/1/2001","Western-Brown",41480,78094,20,0,0,0
"2/1/2001","Damen-Brown",40090,47980,20,0,0,0
"2/1/2001","Montrose-Brown",41500,46004,20,0,0,0
"2/1/2001","Irving Park-Brown",41460,51239,20,0,0,0
"2/1/2001","Addison-Brown",41440,39512,20,0,0,0
"2/1/2001","Paulina",41310,46204,20,0,0,0
"2/1/2001","Southport",40360,58149,20,0,0,0
"2/1/2001","Wellington",41210,52992,20,0,0,0
"2/1/2001","Diversey",40530,96008,20,0,0,0
"2/1/2001","Armitage",40660,73572,20,0,0,0
"2/1/2001","Sedgwick",40800,48179,20,0,0,0
"2/1/2001","Chicago/Franklin",40710,89988,20,0,0,0
"2/1/2001","Merchandise Mart",40460,125479,20,0,0,0
"2/1/2001","Midway Airport",40930,172216,20,0,0,0
"2/1/2001","Pulaski-Orange",40960,114338,20,0,0,0
"2/1/2001","Kedzie-Midway",41150,66619,20,0,0,0
"2/1/2001","Western-Orange",40310,72565,20,0,0,0
"2/1/2001","35th/Archer",40120,46232,20,0,0,0
"2/1/2001","Ashland-Orange",41060,29697,20,0,0,0
"2/1/2001","Halsted-Orange",41130,54555,20,0,0,0
"2/1/2001","Washington/Wells",40730,148103,20,0,0,0
"2/1/2001","Quincy/Wells",40040,161069,20,0,0,0
"2/1/2001","LaSalle/Van Buren",40160,73661,20,0,0,0
"2/1/2001","Library",40850,55040,20,0,0,0
"2/1/2001","Adams/Wabash",40680,157488,20,0,0,0
"2/1/2001","Madison/Wabash",40640,84545,20,0,0,0
"2/1/2001","Randolph/Wabash",40200,125521,20,0,0,0
"2/1/2001","State/Lake",40260,192934,20,0,0,0
"2/1/2001","Clark/Lake",40380,322212,20,0,0,0
"3/1/2001","Howard",40900,171836,32,0,0,0
"3/1/2001","Jarvis",41190,41797,32,0,0,0
"3/1/2001","Morse",40100,124194,32,0,0,0
"3/1/2001","Loyola",41300,133657,32,0,0,0
"3/1/2001","Granville",40760,92161,32,0,0,0
"3/1/2001","Thorndale",40880,82860,32,0,0,0
"3/1/2001","Bryn Mawr",41380,123586,32,0,0,0
"3/1/2001","Berwyn",40340,92312,32,0,0,0
"3/1/2001","Argyle",41200,77093,32,0,0,0
"3/1/2001","Lawrence",40770,77828,32,0,0,0
"3/1/2001","Wilson",40540,145046,32,0,0,0
"3/1/2001","Sheridan",40080,121307,32,0,0,0
"3/1/2001","Addison-North Main",41420,140520,32,0,0,0
"3/1/2001","Belmont-North Main",41320,269746,32,0,0,0
"3/1/2001","Fullerton",41220,262905,32,0,0,0
"3/1/2001","North/Clybourn",40650,102929,32,0,0,0
"3/1/2001","Clark/Division",40630,193363,32,0,0,0
"3/1/2001","Chicago/State",41450,356793,32,0,0,0
"3/1/2001","Grand/State",40330,246602,32,0,0,0
"3/1/2001","Lake/State",41660,356970,32,0,0,0
"3/1/2001","Washington/State",40500,181822,32,0,0,0
"3/1/2001","Monroe/State",41090,188649,32,0,0,0
"3/1/2001","Jackson/State",40560,296458,32,0,0,0
"3/1/2001","Harrison",41490,74845,32,0,0,0
"3/1/2001","Roosevelt",41400,164671,32,0,0,0
"3/1/2001","Cermak-Chinatown",41000,78362,32,0,0,0
"3/1/2001","Sox-35th-Dan Ryan",40190,97030,32,0,0,0
"3/1/2001","47th-Dan Ryan",41230,65894,32,0,0,0
"3/1/2001","Garfield-Dan Ryan",41170,128672,32,0,0,0
"3/1/2001","63rd-Dan Ryan",40910,101724,32,0,0,0
"3/1/2001","69th",40990,185984,32,0,0,0
"3/1/2001","79th",40240,201493,32,0,0,0
"3/1/2001","87th",41430,147611,32,0,0,0
"3/1/2001","95th/Dan Ryan",40450,378875,32,0,0,0
"3/1/2001","Linden",41050,27596,32,0,0,0
"3/1/2001","Central-Evanston",41250,23843,32,0,0,0
"3/1/2001","Noyes",40400,15367,32,0,0,0
"3/1/2001","Foster",40520,17296,32,0,0,0
"3/1/2001","Davis",40050,94895,32,0,0,0
"3/1/2001","Dempster",40690,18118,32,0,0,0
"3/1/2001","Main",40270,31733,32,0,0,0
"3/1/2001","South Boulevard",40840,21394,32,0,0,0
"3/1/2001","Skokie",40140,55064,32,0,0,0
"3/1/2001","O'Hare Airport",40890,240372,32,0,0,0
"3/1/2001","Rosemont",40820,130368,32,0,0,0
"3/1/2001","Cumberland",40230,119498,32,0,0,0
"3/1/2001","Harlem-O'Hare",40750,68465,32,0,0,0
"3/1/2001","Jefferson Park",41280,169875,32,0,0,0
"3/1/2001","Montrose-O'Hare",41330,50082,32,0,0,0
"3/1/2001","Irving Park-O'Hare",40550,94436,32,0,0,0
"3/1/2001","Addison-O'Hare",41240,62624,32,0,0,0
"3/1/2001","Belmont-O'Hare",40060,117753,32,0,0,0
"3/1/2001","Logan Square",41020,119525,32,0,0,0
"3/1/2001","California/Milwaukee",40570,75366,32,0,0,0
"3/1/2001","Western/Milwaukee",40670,72555,32,0,0,0
"3/1/2001","Damen/Milwaukee",40590,108269,32,0,0,0
"3/1/2001","Division/Milwaukee",40320,114972,32,0,0,0
"3/1/2001","Chicago/Milwaukee",41410,54738,32,0,0,0
"3/1/2001","Grand/Milwaukee",40490,31217,32,0,0,0
"3/1/2001","Washington/Dearborn",40370,219907,32,0,0,0
"3/1/2001","Monroe/Dearborn",40790,140867,32,0,0,0
"3/1/2001","Jackson/Dearborn",40070,183105,32,0,0,0
"3/1/2001","LaSalle",41340,53632,32,0,0,0
"3/1/2001","Clinton-Forest Park",40430,57591,32,0,0,0
"3/1/2001","UIC-Halsted",40350,92342,32,0,0,0
"3/1/2001","Racine",40470,56509,32,0,0,0
"3/1/2001","Medical Center",40810,51744,32,0,0,0
"3/1/2001","Western-Forest Park",40220,27525,32,0,0,0
"3/1/2001","Kedzie-Homan-Forest Park",40250,37143,32,0,0,0
"3/1/2001","Pulaski-Forest Park",40920,34005,32,0,0,0
"3/1/2001","Cicero-Forest Park",40970,28542,32,0,0,0
"3/1/2001","Austin-Forest Park",40010,39576,32,0,0,0
"3/1/2001","Oak Park-Forest Park",40180,34810,32,0,0,0
"3/1/2001","Harlem-Forest Park",40980,20928,32,0,0,0
"3/1/2001","Forest Park",40390,87973,32,0,0,0
"3/1/2001","Polk",41030,51927,32,0,0,0
"3/1/2001","18th",40830,21998,32,0,0,0
"3/1/2001","Damen-Cermak",40210,15170,32,0,0,0
"3/1/2001","Western-Cermak",40740,12355,32,0,0,0
"3/1/2001","California-Cermak",40440,17176,32,0,0,0
"3/1/2001","Kedzie-Cermak",41040,9752,32,0,0,0
"3/1/2001","Central Park",40780,10110,32,0,0,0
"3/1/2001","Pulaski-Cermak",40150,10402,32,0,0,0
"3/1/2001","Kostner",40600,6624,32,0,0,0
"3/1/2001","Cicero-Cermak",40420,19464,32,0,0,0
"3/1/2001","54th/Cermak",40580,35433,32,0,0,0
"3/1/2001","Harlem-Lake",40020,86201,32,0,0,0
"3/1/2001","Oak Park-Lake",41350,36155,32,0,0,0
"3/1/2001","Ridgeland",40610,31431,32,0,0,0
"3/1/2001","Austin-Lake",41260,45641,32,0,0,0
"3/1/2001","Central-Lake",40280,64045,32,0,0,0
"3/1/2001","Laramie",40700,34586,32,0,0,0
"3/1/2001","Cicero-Lake",40480,35110,32,0,0,0
"3/1/2001","Pulaski-Lake",40030,42027,32,0,0,0
"3/1/2001","Kedzie-Lake",41070,33456,32,0,0,0
"3/1/2001","California-Lake",41360,21573,32,0,0,0
"3/1/2001","Ashland-Lake",40170,37733,32,0,0,0
"3/1/2001","Clinton-Lake",41160,44899,32,0,0,0
"3/1/2001","35-Bronzeville-IIT",41120,51026,32,0,0,0
"3/1/2001","Indiana",40300,16028,32,0,0,0
"3/1/2001","43rd",41270,21508,32,0,0,0
"3/1/2001","47th-South Elevated",41080,33936,32,0,0,0
"3/1/2001","51st",40130,31078,32,0,0,0
"3/1/2001","Garfield-South Elevated",40510,20378,32,0,0,0
"3/1/2001","King Drive",41140,18867,32,0,0,0
"3/1/2001","East 63rd-Cottage Grove",40720,37244,32,0,0,0
"3/1/2001","Halsted/63rd",40940,20951,32,0,0,0
"3/1/2001","Ashland/63rd",40290,46262,32,0,0,0
"3/1/2001","Kimball",41290,107725,32,0,0,0
"3/1/2001","Kedzie-Brown",41180,41240,32,0,0,0
"3/1/2001","Francisco",40870,27765,32,0,0,0
"3/1/2001","Rockwell",41010,32102,32,0,0,0
"3/1/2001","Western-Brown",41480,86368,32,0,0,0
"3/1/2001","Damen-Brown",40090,53796,32,0,0,0
"3/1/2001","Montrose-Brown",41500,51809,32,0,0,0
"3/1/2001","Irving Park-Brown",41460,59014,32,0,0,0
"3/1/2001","Addison-Brown",41440,45357,32,0,0,0
"3/1/2001","Paulina",41310,53344,32,0,0,0
"3/1/2001","Southport",40360,66715,32,0,0,0
"3/1/2001","Wellington",41210,59551,32,0,0,0
"3/1/2001","Diversey",40530,110374,32,0,0,0
"3/1/2001","Armitage",40660,84143,32,0,0,0
"3/1/2001","Sedgwick",40800,54975,32,0,0,0
"3/1/2001","Chicago/Franklin",40710,98973,32,0,0,0
"3/1/2001","Merchandise Mart",40460,140376,32,0,0,0
"3/1/2001","Midway Airport",40930,200638,32,0,0,0
"3/1/2001","Pulaski-Orange",40960,127780,32,0,0,0
"3/1/2001","Kedzie-Midway",41150,75063,32,0,0,0
"3/1/2001","Western-Orange",40310,81880,32,0,0,0
"3/1/2001","35th/Archer",40120,53191,32,0,0,0
"3/1/2001","Ashland-Orange",41060,33117,32,0,0,0
"3/1/2001","Halsted-Orange",41130,60689,32,0,0,0
"3/1/2001","Washington/Wells",40730,146960,32,0,0,0
"3/1/2001","Quincy/Wells",40040,163495,32,0,0,0
"3/1/2001","LaSalle/Van Buren",40160,73864,32,0,0,0
"3/1/2001","Library",40850,54290,32,0,0,0
"3/1/2001","Adams/Wabash",40680,192086,32,0,0,0
"3/1/2001","Madison/Wabash",40640,97326,32,0,0,0
"3/1/2001","Randolph/Wabash",40200,153533,32,0,0,0
"3/1/2001","State/Lake",40260,211918,32,0,0,0
"3/1/2001","Clark/Lake",40380,387078,32,0,0,0
"4/1/2001","Howard",40900,161756,40,0,0,0
"4/1/2001","Jarvis",41190,39235,40,0,0,0
"4/1/2001","Morse",40100,115631,40,0,0,0
"4/1/2001","Loyola",41300,127259,40,0,0,0
"4/1/2001","Granville",40760,88061,40,0,0,0
"4/1/2001","Thorndale",40880,75654,40,0,0,0
"4/1/2001","Bryn Mawr",41380,116387,40,0,0,0
"4/1/2001","Berwyn",40340,86911,40,0,0,0
"4/1/2001","Argyle",41200,72648,40,0,0,0
"4/1/2001","Lawrence",40770,72429,40,0,0,0
"4/1/2001","Wilson",40540,130951,40,0,0,0
"4/1/2001","Sheridan",40080,114886,40,0,0,0
"4/1/2001","Addison-North Main",41420,163152,40,0,0,0
"4/1/2001","Belmont-North Main",41320,256018,40,0,0,0
"4/1/2001","Fullerton",41220,263564,40,0,0,0
"4/1/2001","North/Clybourn",40650,96903,40,0,0,0
"4/1/2001","Clark/Division",40630,182344,40,0,0,0
"4/1/2001","Chicago/State",41450,340662,40,0,0,0
"4/1/2001","Grand/State",40330,235235,40,0,0,0
"4/1/2001","Lake/State",41660,330407,40,0,0,0
"4/1/2001","Washington/State",40500,169191,40,0,0,0
"4/1/2001","Monroe/State",41090,177714,40,0,0,0
"4/1/2001","Jackson/State",40560,282829,40,0,0,0
"4/1/2001","Harrison",41490,63607,40,0,0,0
"4/1/2001","Roosevelt",41400,155198,40,0,0,0
"4/1/2001","Cermak-Chinatown",41000,75613,40,0,0,0
"4/1/2001","Sox-35th-Dan Ryan",40190,114731,40,0,0,0
"4/1/2001","47th-Dan Ryan",41230,61517,40,0,0,0
"4/1/2001","Garfield-Dan Ryan",41170,120974,40,0,0,0
"4/1/2001","63rd-Dan Ryan",40910,95361,40,0,0,0
"4/1/2001","69th",40990,176851,40,0,0,0
"4/1/2001","79th",40240,187151,40,0,0,0
"4/1/2001","87th",41430,134888,40,0,0,0
"4/1/2001","95th/Dan Ryan",40450,353856,40,0,0,0
"4/1/2001","Linden",41050,27801,40,0,0,0
"4/1/2001","Central-Evanston",41250,23207,40,0,0,0
"4/1/2001","Noyes",40400,15421,40,0,0,0
"4/1/2001","Foster",40520,18148,40,0,0,0
"4/1/2001","Davis",40050,93463,40,0,0,0
"4/1/2001","Dempster",40690,17764,40,0,0,0
"4/1/2001","Main",40270,29599,40,0,0,0
"4/1/2001","South Boulevard",40840,20205,40,0,0,0
"4/1/2001","Skokie",40140,54466,40,0,0,0
"4/1/2001","O'Hare Airport",40890,238913,40,0,0,0
