Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
5/12/28,,53,31,0,0,0
5/13/28,,65,34,0,0,0
5/14/28,,70,48,0,0,0
5/15/28,,69,54,0.03,0,0
5/16/28,,69,59,0.76,0,0
5/17/28,,77,60,0,0,0
5/18/28,,75,54,0.16,0,0
5/19/28,,69,51,0,0,0
5/20/28,,79,48,0,0,0
5/21/28,,71,49,0,0,0
5/22/28,,78,48,0,0,0
5/23/28,,62,44,0,0,0
5/24/28,,84,42,0.15,0,0
5/25/28,,65,48,0,0,0
5/26/28,,60,45,0.34,0,0
5/27/28,,64,42,0.01,0,0
5/28/28,,64,44,0,0,0
5/29/28,,65,51,0,0,0
5/30/28,,68,46,0,0,0
5/31/28,,67,41,0,0,0
6/1/28,,78,52,0,0,0
6/2/28,,58,48,0,0,0
6/3/28,,71,45,0,0,0
6/4/28,,59,51,0.01,0,0
6/5/28,,54,48,0.34,0,0
6/6/28,,58,48,0.02,0,0
6/7/28,,71,45,0,0,0
6/8/28,,74,59,0,0,0
6/9/28,,64,46,0,0,0
6/10/28,,72,41,0,0,0
6/11/28,,76,49,0,0,0
6/12/28,,87,58,0,0,0
6/13/28,,79,59,0,0,0
6/14/28,,82,51,0,0,0
6/15/28,,70,47,0,0,0
6/16/28,,72,50,0,0,0
6/17/28,,77,59,0.31,0,0
6/18/28,,83,58,0.03,0,0
6/19/28,,86,57,0.79,0,0
6/20/28,,77,64,2.56,0,0
6/21/28,,83,61,0.03,0,0
6/22/28,,81,60,0.19,0,0
6/23/28,,69,56,0,0,0
6/24/28,,71,52,1.34,0,0
6/25/28,,56,50,0.15,0,0
6/26/28,,72,52,0.02,0,0
6/27/28,,78,55,0,0,0
6/28/28,,77,60,0.32,0,0
6/29/28,,66,56,0.53,0,0
6/30/28,,86,54,0,0,0
7/1/28,,85,64,0,0,0
7/5/28,,78,59,0,0,0
10/4/28,,79,62,0.5,0,0
10/8/28,,77,54,0.46,0,0
10/9/28,,71,53,0,0,0
10/10/28,,82,49,0,0,0
10/11/28,,88,61,0,0,0
10/12/28,,79,63,0.38,0,0
10/13/28,,73,50,0.01,0,0
10/14/28,,62,50,0,0,0
10/15/28,,71,50,0,0,0
10/16/28,,71,63,0.01,0,0
10/17/28,,65,55,0.52,0,0
10/18/28,,57,50,0.12,0,0
10/19/28,,52,42,0.03,0,0
10/20/28,,59,39,0,0,0
10/21/28,,63,42,0,0,0
10/22/28,,59,39,0.54,0,0
10/23/28,,55,38,0,0,0
10/24/28,,60,38,0,0,0
10/25/28,,52,35,0,0,0
10/26/28,,50,31,0.06,0,0
10/27/28,,50,40,0.03,0,0
10/28/28,,46,32,0,0,0
10/29/28,,43,25,0,0,0
10/30/28,,44,25,0,0,0
10/31/28,,52,28,0,0,0
11/1/28,,51,42,0.08,0,0
11/2/28,,47,45,0.55,0,0
11/3/28,,48,34,0.03,0,0
11/4/28,,54,30,0,0,0
11/5/28,,59,34,0,0,0
11/6/28,,59,36,0,0,0
11/7/28,,53,41,0.1,0,0
11/8/28,,44,35,0,0,0
11/9/28,,38,34,0.22,0,0
11/10/28,,41,34,0.05,0,0
11/11/28,,55,35,0,0,0
11/12/28,,48,31,0,0,0
11/13/28,,50,29,0,0,0
11/14/28,,60,43,0,0,0
11/15/28,,68,56,0,0,0
11/16/28,,61,47,1.29,0,0
11/17/28,,52,42,1.26,0,0
11/18/28,,42,37,0,0,0
11/19/28,,38,32,0.03,0,0
11/20/28,,33,31,0,0,0
11/21/28,,44,29,0.02,0.1,0
11/22/28,,38,25,0.01,0,0
11/23/28,,43,24,0,0,0
11/24/28,,42,24,0,0,0
11/25/28,,28,19,0,0,0
11/26/28,,42,19,0,0,0
11/27/28,,46,30,0.02,0,0
11/28/28,,42,34,0.01,0,0
11/29/28,,44,37,0.17,0,0
11/30/28,,45,29,0.21,0,0
12/1/28,,34,27,0,0,0
12/2/28,,48,31,0.08,0,0
12/3/28,,44,30,0,0,0
12/4/28,,31,15,0.09,1.6,1
12/5/28,,19,8,0,0,1
12/6/28,,29,15,0,0,0
12/7/28,,26,17,0.01,0.2,0
12/8/28,,29,16,0,0,0
12/9/28,,38,17,0,0,0
12/11/28,,50,27,0,0,0
12/12/28,,45,38,0.17,0,0
12/13/28,,48,41,1.24,0,0
12/14/28,,48,44,0,0,0
12/15/28,,46,44,0,0,0
12/16/28,,46,43,0.47,0,0
12/17/28,,43,24,0.44,1.6,1
12/18/28,,34,21,0,0,0
12/19/28,,33,19,0,0,0
12/20/28,,25,3,0.01,0.1,0
12/21/28,,13,0,0.01,0.1,0
12/22/28,,27,11,0,0,0
12/23/28,,36,17,0,0,0
12/24/28,,41,22,0,0,0
12/25/28,,39,24,0,0,0
12/26/28,,46,31,0.04,0,0
12/27/28,,39,32,0.01,0,0
12/28/28,,44,31,0,0,0
12/29/28,,35,20,0,0,0
12/30/28,,32,19,0,0,0
12/31/28,,40,29,0.03,0.2,0
1/1/29,,33,3,0.37,4.1,4
1/2/29,,18,-3,0,0,4
1/3/29,,27,9,0.01,0.2,4
1/4/29,,31,0,0.11,1.8,5
1/5/29,,38,22,0.8,0.2,2
1/6/29,,22,3,0.03,0.3,2
1/7/29,,4,-5,0,0,1
1/8/29,,31,-3,0,0,1
1/9/29,,38,27,0.1,0.1,1
1/10/29,,36,21,0,0,0
1/11/29,,31,1,0,0,0
1/12/29,,23,-1,0,0,0
1/13/29,,4,-10,0,0,0
1/14/29,,9,-7,0.33,5.6,6
1/15/29,,9,-13,0,0,5
1/16/29,,25,-1,0.06,0.1,3
1/17/29,,35,25,0.02,0,3
1/18/29,,35,18,0.84,2.6,5
1/19/29,,30,10,0,0,2
1/20/29,,16,1,0,0,2
1/21/29,,29,11,0,0,1
1/22/29,,42,13,0.9,0,1
1/23/29,,15,4,0,0,1
1/24/29,,33,12,0.03,0.1,1
1/25/29,,34,4,0,0,1
1/26/29,,21,0,0,0,1
1/27/29,,25,15,0.07,1.1,2
1/28/29,,18,4,0,0.1,2
1/29/29,,20,7,0,0,1
1/30/29,,24,6,0.11,1.6,3
1/31/29,,22,-3,0.1,1.2,4
2/1/29,,14,-9,0,,
2/2/29,,24,2,0,0,3
2/3/29,,25,11,0,0,3
2/4/29,,28,14,0,0,3
2/5/29,,33,21,0,0,2
2/6/29,,32,25,0.03,0.1,2
2/7/29,,32,28,0.04,0.3,3
2/8/29,,30,13,0.16,1.5,3
2/9/29,,17,-2,0,0,3
2/10/29,,13,-9,0,0,3
2/11/29,,16,-1,0.01,0.1,3
2/12/29,,16,-5,0.08,1,4
2/13/29,,25,16,0.06,0.8,5
2/14/29,,26,10,0,0,4
2/15/29,,31,14,0,0,2
2/16/29,,37,12,0,0,1
2/17/29,,40,15,0,0,1
2/18/29,,18,2,0.01,0.1,1
2/19/29,,13,-3,0.14,1.6,3
2/20/29,,19,-9,0,0,2
2/21/29,,28,9,0.05,0.6,3
2/22/29,,14,0,0,0,0
2/23/29,,36,9,0,0,0
2/24/29,,45,32,0,0,0
2/25/29,,43,32,0.02,0,0
2/26/29,,47,30,0,0,0
2/27/29,,40,28,0,0,0
2/28/29,,43,27,0,0,0
3/1/29,,37,30,0,0,0
3/2/29,,42,27,0,0,0
3/3/29,,45,34,0,0,0
3/4/29,,40,30,0,0,0
3/5/29,,43,26,0,0,0
3/6/29,,57,21,0,0,0
3/7/29,,26,8,0,0,0
3/9/29,,29,13,0,0,0
3/10/29,,41,10,0,0,0
3/11/29,,48,36,0,0,0
3/12/29,,66,42,0,0,0
3/13/29,,58,49,0.29,0,0
3/14/29,,68,45,0.02,0,0
3/15/29,,51,33,1.46,0.2,0
3/16/29,,38,31,0.1,0.2,0
3/17/29,,48,31,0,0,0
3/18/29,,60,34,0,0,0
3/19/29,,55,35,0,0,0
3/20/29,,51,32,0,0,0
3/21/29,,64,39,0.09,0,0
3/22/29,,62,38,0.18,0,0
3/23/29,,66,40,0,0,0
3/24/29,,72,36,0,0,0
3/25/29,,59,42,0.08,0,0
3/26/29,,56,33,0,0,0
3/28/29,,52,35,0,0,0
3/29/29,,50,32,0,0,0
3/30/29,,65,43,0,0,0
3/31/29,,44,37,2.5,0.1,0
4/1/29,,40,29,0,0,0
4/2/29,,53,30,0,0,0
4/3/29,,75,42,0,0,0
4/4/29,,80,58,0.14,0,0
4/5/29,,81,66,0,0,0
4/6/29,,84,66,0,0,0
4/7/29,,76,60,0.37,0,0
4/8/29,,60,45,0.1,0,0
4/9/29,,50,39,0.05,0,0
4/10/29,,50,39,0.27,0,0
4/11/29,,57,39,0.42,0,0
4/12/29,,45,37,0,0,0
4/13/29,,57,32,0,0,0
4/14/29,,51,39,0,0,0
4/15/29,,48,39,0,0,0
4/16/29,,52,35,0,0,0
4/17/29,,51,39,0,0,0
4/18/29,,53,31,0,0,0
4/19/29,,48,35,0.87,0,0
4/20/29,,46,42,1.14,0,0
4/21/29,,52,39,0,0,0
4/22/29,,60,34,0,0,0
4/23/29,,62,36,0,0,0
4/24/29,,58,49,0.33,0,0
4/25/29,,68,42,0.04,0,0
4/26/29,,67,39,0,0,0
4/27/29,,70,46,0,0,0
4/28/29,,62,41,0.05,0,0
4/29/29,,55,35,0.06,0,0
4/30/29,,76,44,0.03,0,0
5/1/29,,60,41,0.01,0,0
5/2/29,,46,36,0.13,0,0
5/3/29,,48,33,0,0,0
5/4/29,,55,32,0,0,0
5/5/29,,58,34,0,0,0
5/6/29,,58,41,0,0,0
5/7/29,,60,35,0,0,0
5/8/29,,63,43,0,0,0
5/9/29,,60,40,0,0,0
5/10/29,,65,42,0,0,0
5/11/29,,81,57,0.32,0,0
5/12/29,,70,55,0,0,0
5/13/29,,66,51,0.09,0,0
5/14/29,,70,54,0.54,0,0
5/15/29,,81,44,0.5,0,0
5/16/29,,55,36,0.01,0,0
5/17/29,,68,36,0,0,0
5/18/29,,62,37,0,0,0
5/19/29,,48,37,0,0,0
5/20/29,,55,39,0,0,0
5/21/29,,64,35,0,0,0
5/22/29,,71,40,0,0,0
5/23/29,,68,57,0.66,0,0
5/24/29,,63,45,0,0,0
5/25/29,,71,42,0,0,0
5/26/29,,80,55,0,0,0
5/27/29,,85,68,0,0,0
5/28/29,,88,66,0,0,0
5/29/29,,92,65,0,0,0
5/30/29,,92,69,0,0,0
5/31/29,,87,59,0,0,0
6/1/29,,59,46,0,0,0
6/2/29,,53,44,0,0,0
6/3/29,,61,41,0,0,0
6/4/29,,72,38,0,0,0
6/5/29,,64,49,0,0,0
6/6/29,,85,46,0,0,0
6/7/29,,60,49,0,0,0
6/8/29,,67,46,0,0,0
6/9/29,,75,43,0,0,0
6/10/29,,84,51,0,0,0
6/11/29,,82,61,2.8,0,0
6/12/29,,65,49,0.26,0,0
6/13/29,,69,51,0.48,0,0
6/14/29,,68,52,0.03,0,0
6/15/29,,80,53,0,0,0
6/16/29,,82,66,0.41,0,0
6/17/29,,86,67,0,0,0
6/18/29,,90,73,0,0,0
6/19/29,,85,61,0.05,0,0
6/20/29,,84,61,0,0,0
6/21/29,,84,57,0,0,0
6/22/29,,83,,0,0,0
6/23/29,,72,58,0,0,0
6/24/29,,74,53,0.01,0,0
6/25/29,,77,54,0,0,0
6/26/29,,79,59,0,0,0
6/27/29,,81,59,0.68,0,0
6/28/29,,75,56,0,0,0
6/30/29,,85,64,1.03,0,0
7/1/29,,84,63,0.06,0,0
7/2/29,,75,55,0,0,0
10/6/29,,70,51,0,0,0
10/8/29,,64,39,0,0,0
10/9/29,,54,46,0,0,0
10/10/29,,51,46,0.14,0,0
10/11/29,,62,48,0.34,0,0
10/12/29,,62,52,0.03,0,0
10/13/29,,60,42,0,0,0
10/14/29,,66,38,0,0,0
10/15/29,,78,44,0,0,0
10/16/29,,65,42,0,0,0
10/17/29,,61,41,0,0,0
10/18/29,,67,39,0,0,0
10/19/29,,76,38,0,0,0
10/20/29,,62,50,0.23,0,0
10/21/29,,52,44,0,0,0
10/22/29,,50,32,0.64,0,0
10/23/29,,35,32,0.43,0,0
10/24/29,,45,35,0,0,0
10/25/29,,58,34,0,0,0
10/26/29,,66,43,0,0,0
10/27/29,,61,43,0,0,0
10/28/29,,45,39,0,0,0
10/29/29,,47,40,0.08,0,0
10/30/29,,60,46,0,0,0
10/31/29,,64,52,0.38,0,0
11/1/29,,52,39,0,0,0
11/2/29,,53,33,0,0,0
11/3/29,,50,37,0,0,0
11/4/29,,43,31,0,0,0
11/5/29,,48,27,0,0,0
11/6/29,,44,29,0,0,0
11/7/29,,46,28,0,0,0
11/8/29,,50,30,0,0,0
11/9/29,,54,30,0,0,0
11/10/29,,51,40,1.01,0,0
11/11/29,,55,44,0,0,0
11/12/29,,54,45,0,0,0
11/13/29,,48,46,0.13,0,0
11/14/29,,48,39,0,0,0
11/15/29,,51,31,0,0,0
11/16/29,,46,29,0,0,0
11/17/29,,51,38,0.02,0,0
11/18/29,,44,35,0.08,0,0
11/19/29,,36,30,0,0,0
11/20/29,,31,22,0,0,0
11/21/29,,23,9,0,0,0
11/22/29,,21,2,0,0,0
11/23/29,,34,17,0,0,0
11/24/29,,33,12,0,0,0
11/25/29,,48,18,0,0,0
11/26/29,,48,35,0,0,0
11/27/29,,45,20,0.04,0,0
11/28/29,,20,6,0,0,0
11/29/29,,9,-1,0,0,0
11/30/29,,17,-1,0,0,0
12/1/29,,29,15,0.07,0.7,0
12/2/29,,15,3,0,0,0
12/3/29,,17,-2,0,0,0
12/4/29,,31,8,0,0,0
12/5/29,,45,23,0,0,0
12/6/29,,42,32,0,0,0
12/7/29,,35,26,0.01,0.1,0
12/8/29,,31,26,0,0,0
12/9/29,,34,22,0,0,0
12/10/29,,38,31,0,0,0
12/11/29,,38,32,0,0,0
12/12/29,,43,32,0.09,0,0
12/13/29,,46,35,0.01,0,0
12/14/29,,35,32,0,0,0
12/15/29,,35,30,0,0,0
12/16/29,,37,34,0.1,0,0
12/17/29,,38,34,0.02,0,0
12/18/29,,34,13,0.85,8.3,0
12/19/29,,14,12,0.61,6.5,0
12/20/29,,14,7,0,0,0
12/21/29,,17,4,0,0,0
12/22/29,,22,4,0.12,1.4,0
12/23/29,,27,10,0.07,0.8,0
12/24/29,,32,3,0.06,0.7,0
12/25/29,,28,22,0.02,0.3,0
12/26/29,,41,22,0,0,0
12/27/29,,38,26,0,0,0
12/28/29,,33,19,0.01,0.2,0
12/29/29,,37,29,0,0,0
12/30/29,,46,27,0,0,0
12/31/29,,41,27,0,0,0
1/1/30,,45,34,0.36,0,0
1/2/30,,42,30,0,0,0
1/3/30,,33,15,0.03,0.3,0
1/4/30,,41,16,0,0,0
1/5/30,,47,32,0,0,0
1/6/30,,50,31,0.19,0,0
1/7/30,,31,19,0.06,0,0
1/8/30,,31,18,0.34,2,2
1/9/30,,29,15,0.73,8.5,11
1/10/30,,24,7,0,0.3,11
1/11/30,,33,19,0.31,0,
1/12/30,,35,32,0.01,0,6
1/13/30,,36,32,0.01,0,5
1/14/30,,38,14,0,0,4
1/15/30,,20,11,0,0,3
1/16/30,,17,9,0.07,0.8,4
1/17/30,,9,-15,0.07,0.9,5
1/18/30,,2,-19,0,0,4
1/19/30,,18,-3,0.01,0,4
1/20/30,,21,10,0.03,0.9,4
1/21/30,,10,-2,0.03,0.5,4
1/22/30,,2,-15,0,0,4
1/23/30,,10,-7,0,0,3
1/24/30,,21,10,0,0,3
1/25/30,,20,-5,0,0,3
1/26/30,,22,-9,0.04,0.3,3
1/27/30,,30,15,0,0.4,3
1/28/30,,20,4,0,0,3
1/29/30,,20,-4,0,0,3
1/30/30,,27,4,0.01,0.2,3
1/31/30,,25,3,0,0,3
2/1/30,,36,20,0.02,0.2,2
2/2/30,,39,27,0.03,0.2,2
2/3/30,,40,34,0,0,2
2/4/30,,35,29,0,0,1
2/5/30,,32,25,0,0,1
2/6/30,,37,25,0,0,1
2/7/30,,34,26,0,0,1
2/8/30,,37,20,0,0,0
2/9/30,,38,27,0,0,0
2/10/30,,27,19,0,0,0
2/11/30,,44,22,0,0,0
2/12/30,,44,32,0.03,0,0
2/13/30,,39,22,0,0,0
2/14/30,,26,12,0.01,0.1,0
2/15/30,,16,-2,0,0,0
2/16/30,,27,10,0.01,0.2,0
2/17/30,,42,27,0,0,0
2/18/30,,51,30,0,0,0
2/19/30,,65,39,0,0,0
2/20/30,,63,44,0,0,0
2/21/30,,66,43,0,0,0
2/22/30,,58,48,0.43,0,0
2/23/30,,60,38,0,0,0
2/24/30,,64,46,0.7,0,0
2/25/30,,63,42,0.01,0,0
2/26/30,,46,31,0,0,0
2/27/30,,38,29,0,0,0
2/28/30,,45,28,0.13,0,0
3/1/30,,44,21,0.05,0,0
3/2/30,,21,11,0.03,1,0
3/3/30,,28,14,0,0,0
3/4/30,,43,18,0,0,0
3/5/30,,44,26,0,0,0
3/7/30,,43,31,0,0,0
3/8/30,,42,26,0,0,0
3/9/30,,55,25,0,0,0
3/10/30,,50,33,0,0,0
3/11/30,,44,33,0,0,0
3/12/30,,55,29,0,0,0
3/13/30,,46,31,0,0,0
3/14/30,,42,27,0,0,0
3/15/30,,59,29,0,0,0
3/16/30,,73,40,0,0,0
3/17/30,,56,32,0.55,0.5,0
3/18/30,,33,27,0.06,0.2,0
3/19/30,,42,20,0,0,0
3/20/30,,56,27,0,0,0
3/21/30,,29,22,0,0,0
3/22/30,,39,24,0,0,0
3/23/30,,53,32,0.25,0,0
3/24/30,,42,31,0.03,0,0
3/25/30,,31,21,1.95,16.5,15
3/26/30,,29,21,0.52,5.6,19
3/27/30,,38,23,0,0,13
3/28/30,,41,20,0,0,6
3/29/30,,33,25,0.02,0.3,1
3/30/30,,40,21,0,0,0
3/31/30,,53,30,0,0,0
4/1/30,,49,31,0,0,0
4/2/30,,50,27,0,0,0
4/3/30,,55,34,0,0,0
4/4/30,,63,31,0,0,0
4/5/30,,69,40,0,0,0
4/6/30,,64,44,0.01,0,0
4/7/30,,52,37,0,0,0
4/8/30,,52,29,0,0,0
4/9/30,,70,32,0,0,0
4/10/30,,91,49,0,0,0
4/11/30,,91,48,0,0,0
4/12/30,,72,49,0.06,0,0
4/13/30,,69,49,0.01,0,0
4/14/30,,56,42,0,0,0
4/15/30,,48,38,0.77,0,0
4/16/30,,50,38,0.52,0,0
4/17/30,,69,50,0.06,0,0
4/18/30,,52,37,0,0,0
4/19/30,,58,37,0,0,0
4/20/30,,49,41,0.73,0,0
4/21/30,,59,40,0.04,0,0
4/22/30,,46,33,0,0,0
4/23/30,,50,32,0,0,0
4/24/30,,46,29,0,0,0
4/25/30,,52,31,0,0,0
4/26/30,,55,29,0,0,0
4/27/30,,56,39,0.1,0,0
4/28/30,,58,46,0,0,0
4/29/30,,72,47,0,0,0
4/30/30,,79,56,0.18,0,0
5/1/30,,77,64,0.05,0,0
5/2/30,,70,53,0.82,0,0
5/3/30,,73,49,0,0,0
5/4/30,,82,50,0,0,0
5/5/30,,86,62,0.18,0,0
5/6/30,,86,62,0,0,0
5/7/30,,79,57,0,0,0
5/8/30,,86,54,0,0,0
5/9/30,,87,62,0,0,0
5/10/30,,83,66,0,0,0
5/11/30,,78,62,0.02,0,0
5/12/30,,74,55,0,0,0
5/13/30,,76,54,0,0,0
5/14/30,,60,50,0.04,0,0
5/15/30,,60,48,0,0,0
5/16/30,,69,48,0,0,0
5/17/30,,48,41,0,0,0
5/18/30,,49,43,0.32,0,0
5/19/30,,54,45,0.76,0,0
5/20/30,,70,44,0,0,0
5/21/30,,86,55,0,0,0
5/22/30,,85,61,0,0,0
5/23/30,,74,47,0.16,0,0
5/24/30,,64,40,0,0,0
5/25/30,,57,41,0.01,0,0
5/26/30,,60,45,0,0,0
5/27/30,,72,48,0.05,0,0
5/28/30,,58,40,0,0,0
5/29/30,,63,36,0.01,0,0
5/30/30,,64,36,0,0,0
5/31/30,,76,43,0,0,0
6/1/30,,82,51,0,0,0
6/2/30,,87,56,0,0,0
6/3/30,,88,58,0,0,0
6/4/30,,88,62,0,0,0
6/5/30,,85,64,0.46,0,0
6/6/30,,64,48,0.82,0,0
6/7/30,,63,46,0.11,0,0
6/8/30,,73,47,0.02,0,0
6/9/30,,73,47,0,0,0
6/10/30,,77,45,0.03,0,0
6/11/30,,77,53,0.05,0,0
6/12/30,,81,58,0.21,0,0
6/13/30,,86,67,0,0,0
6/14/30,,91,66,0,0,0
6/15/30,,80,64,0.69,0,0
6/16/30,,77,61,0,0,0
6/17/30,,65,53,0,0,0
6/18/30,,71,48,0,0,0
6/19/30,,77,51,0,0,0
6/20/30,,85,57,0,0,0
6/21/30,,90,60,0,0,0
6/22/30,,85,64,0.02,0,0
6/23/30,,99,68,0,0,0
6/24/30,,81,65,0,0,0
6/25/30,,85,60,0,0,0
6/26/30,,77,62,0.66,0,0
6/27/30,,84,59,0,0,0
6/28/30,,71,56,0,0,0
6/29/30,,93,60,0,0,0
6/30/30,,80,64,0.16,0,0
7/1/30,,65,52,0,0,0
7/2/30,,72,48,0,0,0
7/3/30,,78,50,0,0,0
7/8/30,,83,55,0.36,0,0
10/3/30,,68,54,0.01,0,0
10/8/30,,72,58,0,0,0
10/9/30,,77,57,0,0,0
10/10/30,,83,60,0,0,0
10/11/30,,82,60,0,0,0
10/12/30,,86,58,0,0,0
10/13/30,,80,55,0,0,0
10/14/30,,64,53,0,0,0
10/15/30,,64,50,0,0,0
10/16/30,,70,41,0.73,0,0
10/17/30,,46,30,0,0,0
10/18/30,,39,28,0,0,0
10/19/30,,37,24,0,0,0
10/20/30,,39,20,0,0,0
10/21/30,,44,27,0,0,0
10/22/30,,46,24,0,0,0
10/23/30,,48,34,0,0,0
10/24/30,,47,32,0,0,0
10/25/30,,52,29,0,0,0
10/26/30,,65,35,0,0,0
10/27/30,,57,50,0.12,0,0
10/28/30,,57,37,0,0,0
10/29/30,,49,32,0.41,0,0
10/30/30,,43,31,0,0,0
10/31/30,,39,27,0,0,0
11/1/30,,47,21,0,0,0
11/2/30,,56,39,0,0,0
11/3/30,,53,31,0,0,0
11/4/30,,53,28,0,0,0
11/5/30,,44,26,0,0,0
11/6/30,,37,19,0,0,0
11/7/30,,48,22,0,0,0
11/8/30,,62,31,0,0,0
11/9/30,,66,38,0,0,0
11/10/30,,61,39,0,0,0
11/11/30,,58,42,0,0,0
11/12/30,,53,41,0,0,0
11/13/30,,55,44,0,0,0
11/14/30,,60,51,0,0,0
11/15/30,,61,56,0.16,0,0
11/16/30,,62,42,0.03,0,0
11/17/30,,62,39,0,0,0
11/18/30,,66,43,0,0,0
11/19/30,,77,50,0,0,0
11/20/30,,69,54,0.08,0,0
11/21/30,,54,35,0,0,0
11/22/30,,47,31,0,0,0
11/23/30,,53,34,0,0,0
11/24/30,,41,21,0,0,0
11/25/30,,24,15,0.12,1.3,1
11/26/30,,22,2,0.02,0.2,1
11/27/30,,15,0,0,0,0
11/28/30,,18,-3,0,0,0
11/29/30,,37,18,1.01,0,0
11/30/30,,38,29,0.21,0,0
12/1/30,,32,5,0,0,0
12/2/30,,30,4,0,0,0
12/3/30,,39,25,0,0,0
12/4/30,,41,34,0,0,0
12/5/30,,45,38,0,0,0
12/6/30,,41,35,0,0,0
12/7/30,,37,30,0,0,0
12/8/30,,33,31,0,0,0
12/9/30,,51,32,0,0,0
12/10/30,,49,31,0,0,0
12/11/30,,44,29,0,0,0
12/12/30,,36,33,0,0,0
12/13/30,,33,31,0.12,1.3,1
12/14/30,,34,24,0.05,0.3,0
12/15/30,,32,17,0.06,1,1
12/16/30,,23,9,0,0,1
12/17/30,,29,4,0,0,1
12/18/30,,32,21,0,0,0
12/19/30,,32,25,0.01,0,0
12/20/30,,37,14,0.03,0.1,0
12/21/30,,29,20,0.01,0.4,1
12/22/30,,27,17,0.04,0.3,1
12/23/30,,23,8,0.01,0.6,1
12/24/30,,29,4,0,0,1
12/25/30,,39,28,0,0,0
12/26/30,,32,27,0,0,0
12/27/30,,31,24,0,0,0
12/28/30,,34,19,0,0,0
12/29/30,,31,13,0.02,0.2,0
12/30/30,,24,9,0,0,0
12/31/30,,34,8,0,0,0
1/1/31,,31,4,0,0,0
1/2/31,,45,23,0,0,0
1/3/31,,44,29,0,0,0
1/4/31,,48,24,0,0,0
1/5/31,,39,35,0.19,0,0
1/6/31,,36,29,0,0,0
1/7/31,,30,28,0,0,0
1/8/31,,33,29,0,0,0
1/9/31,,42,26,0,0,0
1/10/31,,43,22,0,0,0
1/11/31,,37,32,0.01,0,0
1/12/31,,34,22,0.01,0.1,0
1/13/31,,28,18,0,0,0
1/14/31,,21,10,0,0,0
1/15/31,,31,8,0,0,0
1/16/31,,44,23,0,0,0
1/17/31,,43,22,0,0,0
1/18/31,,35,30,0.38,1.1,1
1/19/31,,35,19,0.04,0.2,0
1/20/31,,23,13,0.01,0.1,0
1/21/31,,21,2,0,0,0
1/22/31,,30,17,0,0,0
1/23/31,,36,13,0,0,0
1/24/31,,52,31,0,0,0
1/25/31,,47,31,0,0,0
1/26/31,,43,24,0,0,0
1/27/31,,46,31,0,0,0
1/28/31,,42,31,0,0,0
1/29/31,,41,34,0,0,0
1/30/31,,49,34,0,0,0
1/31/31,,39,27,0,0,0
2/1/31,,39,25,0,0,0
